id,name,id_insumo,um_insumo,cantidad,costo_unitario
1000005,CHORIZO (1 UNIDAD),561.0,UNID,1.0,1.32
1000029,1 POLLO A LA BRASA,167.0,KG,1.06,1.33
1000029,1 POLLO A LA BRASA,233.0,LT,0.2,7.865835
1000029,1 POLLO A LA BRASA,246.0,LT,0.06,7.0940443
1000029,1 POLLO A LA BRASA,599.0,UNID,1.0,11.35
1000030,1 POLLO A LA BRASA LLEVAR ,182.0,KG,1.06,1.85
1000030,1 POLLO A LA BRASA LLEVAR ,233.0,LT,0.2,7.865835
1000030,1 POLLO A LA BRASA LLEVAR ,246.0,LT,0.06,7.0940443
1000030,1 POLLO A LA BRASA LLEVAR ,599.0,UNID,1.0,11.35
1000031,1/2 POLLO A LA BRASA ,182.0,KG,0.9,1.85
1000031,1/2 POLLO A LA BRASA ,233.0,LT,0.1,7.865835
1000031,1/2 POLLO A LA BRASA ,246.0,LT,0.06,7.0940443
1000031,1/2 POLLO A LA BRASA ,599.0,UNID,0.5,11.35
1000032,1/2 POLLO A LA BRASA LLEVAR ,182.0,KG,0.9,1.85
1000032,1/2 POLLO A LA BRASA LLEVAR ,233.0,LT,0.1,7.865835
1000032,1/2 POLLO A LA BRASA LLEVAR ,246.0,LT,0.06,7.0940443
1000032,1/2 POLLO A LA BRASA LLEVAR ,599.0,UNID,0.5,11.35
1000033,1/4 POLLO A LA BRASA ,182.0,KG,0.75,1.85
1000033,1/4 POLLO A LA BRASA ,233.0,LT,0.05,7.865835
1000033,1/4 POLLO A LA BRASA ,246.0,LT,0.03,7.0940443
1000033,1/4 POLLO A LA BRASA ,599.0,UNID,0.25,11.35
1000034,1/4 POLLO A LA BRASA LLEVAR ,167.0,KG,0.75,1.33
1000034,1/4 POLLO A LA BRASA LLEVAR ,233.0,LT,0.2,7.865835
1000034,1/4 POLLO A LA BRASA LLEVAR ,246.0,LT,0.03,7.0940443
1000034,1/4 POLLO A LA BRASA LLEVAR ,599.0,UNID,0.25,11.35
1000035,EMPANADAS TIPO ARGENTINAS 3 UNID ,249.0,UNID,1.0,2.69397
1000035,EMPANADAS TIPO ARGENTINAS 3 UNID ,252.0,LT,0.03,8.1024772
1000036,EMPANADAS TIPO ARGENTINAS 6 UNID ,249.0,UNID,2.0,2.69397
1000036,EMPANADAS TIPO ARGENTINAS 6 UNID ,252.0,LT,0.03,8.1024772
1000037,PAN AL AJO AL GRILL,254.0,UNID,1.0,1.1514571056
1000067,PORCIÓN  PAPAS FRITAS,8.0,LT,0.05,6.94
1000067,PORCIÓN  PAPAS FRITAS,79.0,KG,0.003,30.0
1000067,PORCIÓN  PAPAS FRITAS,100.0,KG,0.007,1.4
1000067,PORCIÓN  PAPAS FRITAS,182.0,KG,0.65,1.85
1000068,PORCIÓN  PAPAS AL GRILL,100.0,KG,0.002,1.4
1000068,PORCIÓN  PAPAS AL GRILL,232.0,LT,0.005,7.2336244
1000068,PORCIÓN  PAPAS AL GRILL,571.0,KG,0.5,2.98
1000071,PORCIÓN ARROZ CHAUFA,6.0,LT,0.004,25.93
1000071,PORCIÓN ARROZ CHAUFA,8.0,LT,0.002,6.94
1000071,PORCIÓN ARROZ CHAUFA,11.0,LT,0.03,6.72
1000071,PORCIÓN ARROZ CHAUFA,18.0,KG,0.0733,4.36
1000071,PORCIÓN ARROZ CHAUFA,60.0,UNID,1.0,0.41
1000071,PORCIÓN ARROZ CHAUFA,101.0,KG,0.03,12.86
1000071,PORCIÓN ARROZ CHAUFA,135.0,KG,0.004,4.22
1000071,PORCIÓN ARROZ CHAUFA,153.0,KG,0.006,11.07
1000071,PORCIÓN ARROZ CHAUFA,171.0,KG,0.005,6.49
1000071,PORCIÓN ARROZ CHAUFA,263.0,KG,0.0005,35.0
1000072,RODAJA DE PIÑA ASADA,26.0,KG,0.005,65.0
1000072,RODAJA DE PIÑA ASADA,75.0,LT,0.05,29.09
1000072,RODAJA DE PIÑA ASADA,93.0,KG,0.2,14.16
1000073,Cambio Asado de tira con hueso,547.0,UNID,1.0,10.16
1000074,Cambio Asado de tira sin hueso,548.0,UNID,1.0,10.3
1000075,Cambio Chuleta de cerdo 300 GR,562.0,UNID,1.0,5.23
1000076,Cambio Chuleta de res 300 GR,565.0,UNID,1.0,9.54
1000077,Cambio Costilla de cerdo 300 GR,558.0,UNID,1.0,7.392
1000078,Cambio Filete de pollo 300 GR,601.0,UNID,1.0,4.6518346
1000079,ALITAS BÚFFALO,8.0,LT,0.05,6.94
1000079,ALITAS BÚFFALO,135.0,KG,0.005,4.22
1000079,ALITAS BÚFFALO,175.0,KG,0.01,10.29
1000079,ALITAS BÚFFALO,182.0,KG,0.6,1.85
1000079,ALITAS BÚFFALO,238.0,LT,0.05,22.5599468
1000079,ALITAS BÚFFALO,603.0,UNID,1.0,8.2842494
1000081,PORCIÓN DE TORTA,679.0,UNID,1.0,6.8125
1000082,MATAMBRE DE CERDO,20.0,KG,0.015,2.62
1000082,MATAMBRE DE CERDO,38.0,LT,0.015,13.95
1000082,MATAMBRE DE CERDO,79.0,KG,0.002,30.0
1000082,MATAMBRE DE CERDO,84.0,KG,0.002,18.0
1000082,MATAMBRE DE CERDO,91.0,KG,0.001,43.0
1000082,MATAMBRE DE CERDO,98.0,KG,0.08,25.24
1000082,MATAMBRE DE CERDO,125.0,KG,0.004,5.08
1000082,MATAMBRE DE CERDO,182.0,KG,0.6,1.85
1000082,MATAMBRE DE CERDO,232.0,LT,0.005,7.2336244
1000082,MATAMBRE DE CERDO,576.0,KG,0.02,39.65
1000082,MATAMBRE DE CERDO,615.0,UNID,1.0,6.79
1000082,MATAMBRE DE CERDO,676.0,KG,0.007,4.35707
1000082,MATAMBRE DE CERDO,690.0,UNID,0.045,2.0
1000083,PIQUEO DE CHANCHO A LA BBQ,13.0,KG,0.002,13.0
1000083,PIQUEO DE CHANCHO A LA BBQ,14.0,KG,0.002,15.0
1000083,PIQUEO DE CHANCHO A LA BBQ,69.0,KG,0.015,17.56
1000083,PIQUEO DE CHANCHO A LA BBQ,170.0,KG,0.002,2.42
1000083,PIQUEO DE CHANCHO A LA BBQ,237.0,LT,0.09,18.25868
1000083,PIQUEO DE CHANCHO A LA BBQ,560.0,UNID,1.0,8.832508
1000083,PIQUEO DE CHANCHO A LA BBQ,561.0,UNID,0.5,1.32
1000083,PIQUEO DE CHANCHO A LA BBQ,571.0,KG,0.2,2.98
1000083,PIQUEO DE CHANCHO A LA BBQ,621.0,KG,0.05,23.0
1000094,PEPPER STEAK,8.0,LT,0.015,6.94
1000094,PEPPER STEAK,38.0,LT,0.16,13.95
1000094,PEPPER STEAK,64.0,LT,0.03,5.2
1000094,PEPPER STEAK,69.0,KG,0.03,17.56
1000094,PEPPER STEAK,77.0,KG,0.001,100.0
1000094,PEPPER STEAK,92.0,KG,0.012,46.0
1000094,PEPPER STEAK,100.0,KG,0.002,1.4
1000094,PEPPER STEAK,182.0,KG,0.6,1.85
1000094,PEPPER STEAK,532.0,LT,0.02,12.99
1000094,PEPPER STEAK,610.0,UNID,1.0,10.1480146
1000095,LOMO EN SALSA DE CHAMPIÑONES,8.0,LT,0.015,6.94
1000095,LOMO EN SALSA DE CHAMPIÑONES,29.0,KG,0.05,9.88
1000095,LOMO EN SALSA DE CHAMPIÑONES,38.0,LT,0.09,13.95
1000095,LOMO EN SALSA DE CHAMPIÑONES,64.0,LT,0.06,5.2
1000095,LOMO EN SALSA DE CHAMPIÑONES,69.0,KG,0.03,17.56
1000095,LOMO EN SALSA DE CHAMPIÑONES,77.0,KG,0.001,100.0
1000095,LOMO EN SALSA DE CHAMPIÑONES,91.0,KG,0.001,43.0
1000095,LOMO EN SALSA DE CHAMPIÑONES,100.0,KG,0.001,1.4
1000095,LOMO EN SALSA DE CHAMPIÑONES,171.0,KG,0.002,6.49
1000095,LOMO EN SALSA DE CHAMPIÑONES,182.0,KG,0.6,1.85
1000095,LOMO EN SALSA DE CHAMPIÑONES,531.0,LT,0.02,13.0
1000095,LOMO EN SALSA DE CHAMPIÑONES,610.0,UNID,1.0,10.1480146
1000098,ALITAS TERIYAKI,8.0,LT,0.05,6.94
1000098,ALITAS TERIYAKI,13.0,KG,0.01,13.0
1000098,ALITAS TERIYAKI,182.0,KG,0.6,1.85
1000098,ALITAS TERIYAKI,255.0,LT,0.05,7.72377
1000098,ALITAS TERIYAKI,603.0,UNID,1.0,8.2842494
1000099,ALITAS ACEVICHADAS,8.0,LT,0.05,6.94
1000099,ALITAS ACEVICHADAS,158.0,KG,0.002,6.38
1000099,ALITAS ACEVICHADAS,182.0,KG,0.6,1.85
1000099,ALITAS ACEVICHADAS,256.0,LT,0.05,13.9620346
1000099,ALITAS ACEVICHADAS,603.0,UNID,1.0,8.2842494
1000103,SALCHIPAPA PARRILLERA,8.0,LT,0.015,6.94
1000103,SALCHIPAPA PARRILLERA,100.0,KG,0.002,1.4
1000103,SALCHIPAPA PARRILLERA,182.0,KG,0.75,1.85
1000103,SALCHIPAPA PARRILLERA,232.0,LT,0.015,7.2336244
1000103,SALCHIPAPA PARRILLERA,621.0,KG,0.2,23.0
1000105,MILKSHAKE,36.0,LT,0.01,22.07
1000105,MILKSHAKE,50.0,UNID,1.0,0.2166666666666666
