date,do
2024-04-01,44.0
2024-04-02,35.0
2024-04-03,29.0
2024-04-04,56.0
2024-04-05,72.0
2024-04-06,87.0
2024-04-07,75.0
2024-04-08,66.0
2024-04-09,57.0
2024-04-10,72.0
2024-04-11,54.0
2024-04-12,70.0
2024-04-13,87.0
2024-04-14,90.0
2024-04-15,63.0
2024-04-16,95.0
2024-04-17,84.0
2024-04-18,96.0
2024-04-19,135.0
2024-04-20,149.0
2024-04-21,122.0
2024-04-22,77.0
2024-04-23,74.0
2024-04-24,94.0
2024-04-25,118.0
2024-04-26,106.0
2024-04-27,121.0
2024-04-28,156.0
2024-04-29,91.0
2024-04-30,140.0
2024-05-01,270.0
2024-05-02,161.0
2024-05-03,132.0
2024-05-04,119.0
2024-05-05,138.0
2024-05-06,89.0
2024-05-07,129.0
2024-05-08,90.0
2024-05-09,165.0
2024-05-10,128.0
2024-05-11,168.0
2024-05-12,507.0
2024-05-13,84.0
2024-05-14,117.0
2024-05-15,84.0
2024-05-16,115.0
2024-05-17,107.0
2024-05-18,129.0
2024-05-19,163.0
2024-05-20,102.0
2024-05-21,111.0
2024-05-22,95.0
2024-05-23,118.0
2024-05-24,109.0
2024-05-25,121.0
2024-05-26,167.0
2024-05-27,70.0
2024-05-28,131.0
2024-05-29,112.0
2024-05-30,84.0
2024-05-31,83.0
2024-06-01,147.0
2024-06-02,138.0
2024-06-03,121.0
2024-06-04,105.0
2024-06-05,90.0
2024-06-06,133.0
2024-06-07,138.0
2024-06-08,122.0
2024-06-09,107.0
2024-06-10,81.0
2024-06-11,110.0
2024-06-12,111.0
2024-06-13,121.0
2024-06-14,208.0
2024-06-15,169.0
2024-06-16,300.0
2024-06-17,109.0
2024-06-18,136.0
2024-06-19,98.0
2024-06-20,89.0
2024-06-21,132.0
2024-06-22,142.0
2024-06-23,150.0
2024-06-24,89.0
2024-06-25,126.0
2024-06-26,81.0
2024-06-27,112.0
2024-06-28,133.0
2024-06-29,193.0
2024-06-30,155.0
2024-07-01,74.0
2024-07-02,83.0
2024-07-03,106.0
2024-07-04,83.0
2024-07-05,103.0
2024-07-06,124.0
2024-07-07,120.0
2024-07-08,110.0
2024-07-09,101.0
2024-07-10,145.0
2024-07-11,150.0
2024-07-12,105.0
2024-07-13,210.0
2024-07-14,177.0
2024-07-15,87.0
2024-07-16,113.0
2024-07-17,109.0
2024-07-18,121.0
2024-07-19,125.0
2024-07-20,201.0
2024-07-21,160.0
2024-07-22,115.0
2024-07-23,142.0
2024-07-24,96.0
2024-07-25,124.0
2024-07-26,128.0
2024-07-27,172.0
2024-07-28,151.0
2024-07-29,137.0
2024-07-30,85.0
2024-07-31,129.0
2024-08-01,127.0
2024-08-02,101.0
2024-08-03,192.0
2024-08-04,115.0
2024-08-05,72.0
2024-08-06,122.0
2024-08-07,99.0
2024-08-08,152.0
2024-08-09,111.0
2024-08-10,175.0
2024-08-11,153.0
2024-08-12,60.0
2024-08-13,106.0
2024-08-14,129.0
2024-08-15,55.99993333
2024-08-16,113.0
2024-08-17,154.0
2024-08-18,136.0
2024-08-19,115.0
2024-08-20,79.0
2024-08-21,131.0
2024-08-22,121.0
2024-08-23,101.0
2024-08-24,196.0
2024-08-25,160.0
2024-08-26,94.0
2024-08-27,88.0
2024-08-28,75.0
2024-08-29,93.0
2024-08-30,174.0
2024-08-31,236.0
2024-09-01,163.0
2024-09-02,91.0
2024-09-03,118.0
2024-09-04,83.0
2024-09-05,85.0
2024-09-06,115.0
2024-09-07,182.0
2024-09-08,162.0
2024-09-09,78.0
2024-09-10,70.0
2024-09-11,132.0
2024-09-12,164.0
2024-09-13,125.0
2024-09-14,239.0
2024-09-15,115.0
2024-09-16,66.0
2024-09-17,87.0
2024-09-18,117.0
2024-09-19,166.0
2024-09-20,144.0
2024-09-21,154.0
2024-09-22,149.0
2024-09-23,83.0
2024-09-24,149.0
2024-09-25,118.0
2024-09-26,94.0
2024-09-27,98.0
2024-09-28,150.0
2024-09-29,149.0
2024-09-30,92.0
2024-10-01,135.0
2024-10-02,133.0
2024-10-03,115.0
2024-10-04,151.0
2024-10-05,122.0
2024-10-06,141.0
2024-10-07,99.0
2024-10-08,133.0
2024-10-09,118.0
2024-10-10,64.0
2024-10-11,120.0
2024-10-12,135.0
2024-10-13,150.0
2024-10-14,95.0
2024-10-15,86.0
2024-10-16,89.0
2024-10-17,88.0
2024-10-18,100.99996666
2024-10-19,133.0
2024-10-20,160.0
2024-10-21,71.0
2024-10-22,73.0
2024-10-23,116.0
2024-10-24,90.0
2024-10-25,79.0
2024-10-26,103.0
2024-10-27,105.0
2024-10-28,69.999
2024-10-29,137.0
2024-10-30,72.0
2024-10-31,221.0
2024-11-01,124.0
2024-11-02,162.0
2024-11-03,159.0
2024-11-04,125.0
2024-11-05,60.0
2024-11-06,76.0
2024-11-07,112.0
2024-11-08,180.0
2024-11-09,154.0
2024-11-10,108.0
2024-11-11,81.0
2024-11-12,53.0
2024-11-13,41.0
2024-11-14,72.0
2024-11-15,95.0
2024-11-16,157.0
2024-11-17,156.0
2024-11-18,61.0
2024-11-19,114.0
2024-11-20,81.0
2024-11-21,69.0
2024-11-22,117.0
2024-11-23,148.0
2024-11-24,136.0
2024-11-25,117.0
2024-11-26,76.0
2024-11-27,60.0
2024-11-28,106.0
2024-11-29,114.0
2024-11-30,131.0
2024-12-01,191.0
2024-12-02,93.0
2024-12-03,153.0
2024-12-04,121.0
2024-12-05,109.0
2024-12-06,131.0
2024-12-07,201.0
2024-12-08,175.0
2024-12-09,163.0
2024-12-10,105.0
2024-12-11,117.0
2024-12-12,74.0
2024-12-13,115.0
2024-12-14,203.0
2024-12-15,171.0
2024-12-16,105.0
2024-12-17,116.0
2024-12-18,159.0
2024-12-19,141.0
2024-12-20,160.0
2024-12-21,208.0
2024-12-22,245.0
2024-12-23,236.0
2024-12-24,222.0
2024-12-25,357.0
2024-12-26,135.0
2024-12-27,85.0
2024-12-28,136.0
2024-12-29,182.0
2024-12-30,186.0
2024-12-31,117.0
2025-01-01,90.0
2025-01-02,121.0
2025-01-03,102.0
2025-01-04,136.0
2025-01-05,145.0
2025-01-06,115.0
2025-01-07,138.0
2025-01-08,116.0
2025-01-09,123.0
2025-01-10,142.0
2025-01-11,158.0
2025-01-12,169.0
2025-01-13,109.0
2025-01-14,102.0
2025-01-15,122.0
2025-01-16,197.0
2025-01-17,124.0
2025-01-18,178.0
2025-01-19,176.0
2025-01-20,92.0
2025-01-21,134.0
2025-01-22,107.0
2025-01-23,125.0
2025-01-24,126.0
2025-01-25,181.0
2025-01-26,172.0
2025-01-27,146.0
2025-01-28,73.0
2025-01-29,88.0
2025-01-30,133.0
2025-01-31,169.0
2025-02-01,167.0
2025-02-02,147.0
2025-02-03,147.0
2025-02-04,78.0
2025-02-05,70.0
2025-02-06,136.0
2025-02-07,66.0
2025-02-08,131.0
2025-02-09,134.0
2025-02-10,73.0
2025-02-11,108.0
2025-02-12,100.0
2025-02-13,138.0
2025-02-14,231.0
2025-02-15,70.0
2025-02-16,99.0
2025-02-17,84.0
2025-02-18,75.0
2025-02-19,87.0
2025-02-20,87.0
2025-02-21,111.0
2025-02-22,195.0
2025-02-23,176.0
2025-02-24,90.0
2025-02-25,50.0
2025-02-26,63.0
2025-02-27,77.0
2025-02-28,110.0
2025-03-01,107.0
2025-03-02,111.0
2025-03-03,65.0
2025-03-04,81.0
2025-03-05,87.0
2025-03-06,142.0
2025-03-07,106.0
2025-03-08,126.0
2025-03-09,97.0
2025-03-10,142.0
2025-03-11,58.0
2025-03-12,80.0
2025-03-13,106.0
2025-03-14,122.0
2025-03-15,210.0
2025-03-16,144.0
2025-03-17,99.0
2025-03-18,65.0
2025-03-19,142.0
2025-03-20,89.0
2025-03-21,152.0
2025-03-22,189.0
2025-03-23,163.0
2025-03-24,104.0
2025-03-25,77.0
2025-03-26,111.0
2025-03-27,71.0
2025-03-28,188.0
2025-03-29,123.0
2025-03-30,141.0
2025-03-31,140.0
2025-04-01,114.0
2025-04-02,113.0
2025-04-03,82.0
2025-04-04,127.0
2025-04-05,187.0
2025-04-06,143.0
2025-04-07,91.0
2025-04-08,100.0
2025-04-09,86.0
2025-04-10,62.0
2025-04-11,83.0
2025-04-12,136.0
2025-04-13,71.0
2025-04-14,62.0
2025-04-15,39.0
2025-04-16,73.0
2025-04-17,64.0
2025-04-18,2.0
2025-04-19,78.0
2025-04-20,58.0
2025-04-21,51.0
2025-04-22,66.0
2025-04-23,65.0
2025-04-24,113.0
2025-04-25,105.0
2025-04-26,90.0
2025-04-27,140.0
2025-04-28,64.0
2025-04-29,40.0
2025-04-30,57.0
2025-05-01,231.0
2025-05-02,92.0
2025-05-03,109.0
2025-05-04,124.0
2025-05-05,53.0
2025-05-06,92.0
2025-05-07,60.0
2025-05-08,79.0
2025-05-09,106.0
2025-05-10,112.0
2025-05-11,225.0
2025-05-12,43.0
2025-05-13,48.0
2025-05-14,49.0
2025-05-15,42.0
2025-05-16,96.0
2025-05-17,105.0
2025-05-18,62.0
2025-05-19,54.0
2025-05-20,69.0
2025-05-21,70.0
2025-05-22,61.0
2025-05-23,90.0
2025-05-24,81.0
2025-05-25,77.0
2025-05-26,34.0
2025-05-27,37.0
2025-05-28,62.0
2025-05-29,84.0
2025-05-30,81.0
2025-05-31,78.0
2025-06-01,112.0
2025-06-02,90.0
2025-06-03,75.0
2025-06-04,67.0
2025-06-05,50.0
2025-06-06,85.0
2025-06-07,97.0
2025-06-08,89.0
2025-06-09,49.0
2025-06-10,30.0
2025-06-11,74.0
2025-06-12,68.0
2025-06-13,74.0
2025-06-14,117.0
2025-06-15,118.0
2025-06-16,43.0
2025-06-17,38.0
2025-06-18,82.0
2025-06-19,73.0
2025-06-20,61.0
2025-06-21,114.0
2025-06-22,92.0
2025-06-23,74.0
2025-06-24,69.0
2025-06-25,56.0
2025-06-26,77.0
2025-06-27,55.0
2025-06-28,105.0
2025-06-29,76.0
2025-06-30,72.0
2025-07-01,69.0
2025-07-02,71.0
2025-07-03,84.0
2025-07-04,56.0
2025-07-05,94.0
2025-07-06,112.0
2025-07-07,65.0
2025-07-08,64.0
2025-07-09,66.0
2025-07-10,59.0
2025-07-11,113.0
2025-07-12,103.0
2025-07-13,66.0
2025-07-14,34.0
2025-07-15,44.0
2025-07-16,57.0
2025-07-17,79.0
2025-07-18,39.0
