fecha,ordenes diarias
2025-09-27,85.0
2025-09-28,82.0
2025-09-29,37.0
2025-09-30,30.0
2025-10-01,35.0
2025-10-02,62.0
2025-10-03,96.0
2025-10-04,78.0
2025-10-05,90.0
2025-10-06,69.0
2025-10-07,44.0
2025-10-08,50.0
2025-10-09,49.0
2025-10-10,41.0
2025-10-11,58.0
2025-10-12,76.0
2025-10-13,56.0
2025-10-14,48.0
2025-10-15,44.0
2025-10-16,53.0
2025-10-17,57.0
2025-10-18,99.0
2025-10-19,43.0
2025-10-20,40.0
2025-10-21,54.0
2025-10-22,38.0
2025-10-23,43.0
2025-10-24,45.0
2025-10-25,98.0
2025-10-26,68.0
2025-10-27,41.0
2025-10-28,34.0
2025-10-29,41.0
2025-10-30,67.0
2025-10-31,109.0
2025-11-01,72.0
2025-11-02,55.0
2025-11-03,53.0
2025-11-04,62.0
2025-11-05,47.0
2025-11-06,66.0
2025-11-07,56.0
2025-11-08,92.0
2025-11-09,101.0
